src	dest
CDH2	JUP
POLR2E	HNRNPR
SPTB	COG8
PRKAB2	PRKAA2
NCBP1	PLRG1
UBC	FBXO10
GNGT1	OR10K1
CXCL11	MAP2K6
CTBP2	MAFB
XAB2	HNRNPD
V3-4	FCAMR
THOC7	NXF1
RPN1	RPL17
SP2	ZSCAN26
POLD3	APEX1
EDN1	CCR3
REEP1	OR6F1
TEX12	UBE2I
MYO1C	POLR2F
ZNF274	SORT1
UGT1A3	ADH4
PCBP2	POLR2I
HLA-DRB1	AP1S2
POTEKP	AP2A1
SRPRB	RPL3
COPS8	GTF2H4
SHFM1	AMER1
RPA2	MCM7
POLR2J	GTF2H4
ICOS	PIK3CA
PSMA4	KLHL12
ARRB2	OR10H1
IGKV3D-20	PIK3R1
CBL	EPN1
CAMK2G	CACNG1
MAP2K3	CCM2
CEBPA	MED23
COL2A1	ITGA3
GSPT2	RPL6
ITGB3	SHB
REEP1	OR6K3
PRKACB	OR13D1
MARK4	AHI1
GRB2	ARTN
BET1L	COG4
CDK5	GOLGA2
GTF2A1	TAF6
AMPH	GRB2
CSNK1E	ACTR1A
MUSK	LRP4
JCHAIN	V1-3
KCNMB4	CACNA1D
MLLT4	JAM2
PSMD4	TCEB2
SF3B4	SF3B6
TUBA1A	SCLT1
EIF4A3	RPS25
C2	C4B
GSTM3	CYP2E1
RAB5A	LRP2
OR5B12	GNAL
FGF21	PDGFRA
BPGAP1	RHOBTB1
GNG11	PIK3R2
RPS14	IMP4
UBE2L6	RFC4
TUBB4A	MKS1
HSP90AA1	ELMO1
CCAR1	TRA2B
MAGOH	CSTF2T
THOC3	FIP1L1
DHX38	NXF2
RPS16	RPS18
HLA-DRB4	AP2B1
ADCY2	GNB2
RPS6KB1	ESR1
MYL1	MYH3
SUMO3	CETN2
IGLV	FCER1A
CALM1	DLG4
U2AF1L5	NCBP2
PPP2CB	REC8
ZMAT5	RNPC3
ACTR2	UBB
POLR2I	CD2BP2
POLR2K	NELFCD
RAE1	SP100
V4-2	GRB2
NCK1	TRIO
MRPS18B	MRPS34
DKK4	WNT9A
HNRNPD	HSPA1B
SPTBN5	GBF1
DGKK	PLCB3
CHRM3	PKN2
LAMB1	SV2C
RPS11	RPL36A
IGHV3-30	CDC42
TIAM1	EFNA3
SRSF5	SNRPC
CTNNBL1	ELAVL1
SUZ12	HOXD9
ETS2	SURF2
CEP164	CEP97
APP	MAPK7
PPP2R5C	RAF1
ARRB1	GRK1
FZD9	GNAQ
IL2RB	MAPK1
RPSA	RPL36A
DHX9	SART1
PPY	GNG2
CENPP	NUP107
ACTL6A	COPS5
CALM1	SLC8A3
PPP1R3A	GYS2
TMF1	VTI1A
PAPOLA	PCBP1
UBQLN2	EPS15
STAT1	IRF1
SNAPC2	POLR2K
LDLRAP1	FCHO1
C2CD3	HSP90AA1
CENPM	CENPU
NDUFB10	MT-ND5
MED1	ESRRB
KRT1	KRT25
ESR1	TIMP4
HIF1A	LDHA
IGF2	CTNND1
EFNB3	ITSN1
RAPSN	LAMC2
SHFM1	PSMC1
TRAPPC3	TRAPPC11
HIST2H3A	ANAPC4
ATM	DCLRE1C
IL17D	IL21R
IGKV1-12	V1-7
ADM	CALCRL
PNRC2	SMG6
RTP1	OR14K1
PSMD12	PSMA1
PPIH	HNRNPC
RPL39	RPL24
SUMO2	UBE2D1
VCP	POLH
M6PR	VPS54
ASUN	NCBP2
HNRNPH1	HNRNPA2B1
PRKCH	TRPV4
IGLV6-57	CD79A
F2RL1	GNA11
TUFM	MRPL12
SNRNP27	PAPOLA
TNFAIP8	TUBB4B
TNKS1BP1	CNOT4
SNRNP40	PPIL1
ARRB1	AMPH
DMD	ACTN3
SYNE2	SUN2
PACSIN1	ARPC5
IGHV4-59	ARPC1A
GAST	GNB1
EGF	PPP2R1A
TDH	GCAT
HNRNPC	GPKOW
MRPS18B	MRPL57
UBE2D4	UBB
IGKV3-15	SYK
IGHV	IGHV4-34
APBB3	LRP6
BIRC5	MAD2L1
HNRNPF	NCBP2
SAP18	SUDS3
IGKV5-2	C4B
AMBP	IGHV3-53
RBBP8	RAD52
UBA52	RPL18A
SAP30	SAP30BP
GTF2E1	TAF1L
NDUFA9	NDUFB2
IGHV4-59	BLK
MMP28	CTNNA2
SRSF7	POLR2E
MCHR1	GNA14
ISG15	UBE2E1
HNRNPH2	PRPF31
PAFAH1B1	CENPO
ETS1	LTB
CFTR	SNX9
NOX3	MAPK14
SFRP2	WNT6
RSF1	CENPC
NUP214	KPNA1
RPL37A	RPL23
IGHV	C4B
PCDH20	CDH23
PLCZ1	MTMR4
GALNT6	MUCL1
SRSF2	THOC3
RPL17	RPL7A
PIK3R1	HBEGF
FIP1L1	WDR33
IFT74	TTC21B
LSM4	PRPF38A
GNA13	PLA2G4C
V2-17	PLCG1
KRT31	KRT3
PRKACG	OR6C75
SOCS3	IRS4
CCL23	CCR10
RPL23	PPP2R2A
DHX38	PCBP1
TPR	ALYREF
NOC4L	UTP3
RPL29	RPL37
TNNI1	MYBPC3
SNRPD3	PLRG1
HNRNPA0	PRPF31
SPI1	SPOP
GRK2	OR9A4
SSR2	RPL19
SNRPE	WBP11
POLR2E	RPA3
ERCC4	POLR2J
AKT1	PPP2R5E
YKT6	TMED9
DYNLL2	COG4
TEAD3	TBL1XR1
RPS10	BYSL
IGKV5-2	CD79B
NFIX	POLR2F
CENPM	RAD21
PCNA	POLD4
RPL11	SRPRB
RPLP0	RPL21
CHMP2B	PDCD6IP
ZNRF3	UBB
KCNMA1	KCNMB4
RPA3	RAD51
MAP2K2	KIAA1549
ELK4	UNC45B
FURIN	MMP7
NCBP1	AQR
MYL12A	CALD1
TRAPPC3	FOLR1
ADH6	UGT2B10
SHANK1	HOMER2
SNRPE	PTBP1
DVL2	AP2A2
SRC	PTPN11
IGKV3-20	MYO1C
RBM8A	SNRNP40
MAPK3	WDR83
NEDD4L	TGFB1
SYMPK	CWC25
SGO1	CENPA
UBE2Z	UBC
LONRF1	FBXL18
CHERP	CPSF4
IL24	IL2RG
POLR2G	HNRNPH1
PLCD4	INPP5B
MTMR1	PIP4K2B
CDC5L	BUD31
RPL21	SMG8
RPN1	RPL35
SKP2	FBXW12
PYY	NPY2R
DUSP21	MAP2K4
POLD3	DTL
PSMA4	LTB
SYMPK	SNRNP70
TOPBP1	EXO1
RAE1	BIRC5
HMGN3	BRCA1
CRKL	PDGFA
SF3B1	CDC5L
HDAC2	MBD3L2
POU2F1	INTS7
DYNC1LI1	KIF3B
MCM5	PRIM2
PNRC2	RPL13A
DAB2	FCHO1
PPP1CC	GYS1
GNAT3	GNG2
CAMK2B	CREB3
SKIV2L2	DHX37
PTPRC	HLA-DRB3
HNRNPL	HNRNPH1
CDC42	ARPC1A
YES1	IGKV1-16
CKAP5	HMMR
MRPS28	MRPS18A
FGB	BCAR1
GTF2F1	CTR9
DDB2	XPA
DDX58	MAP2K6
FBXL5	UBB
HELZ2	MED11
CILP	IGF1R
MAPK1	LAMTOR2
ELAVL2	LSM6
ELMO1	V2-11
DDB1	UBB
CWC27	U2AF1L4
DCAF13	KRR1
H3F3A	POLR2G
TMPRSS6	LAMA3
PIK3CB	LAT2
BCL3	ZBTB37
NDUFA1	MT-ND6
BUB1	TP73
PSMC2	ANAPC10
POLR2B	EZH2
UBA52	TP53BP1
E2F3	RBL1
MGST1	EPHX1
RPS27A	EIF4A3
INPP5K	PLCB2
C1R	IGLV2-8
ACTG1	WIPF2
RTP1	OR10A5
PRKAB2	PFKFB2
CCNH	NELFE
POLR2H	UVSSA
GAB1	KPNB1
PPP2CA	RPL36
WDR75	RRP9
PIK3CA	PLCB3
RPS2	RIOK3
TERF2	BLM
RPS26	SRPRA
MRPS34	MRPL21
ARHGEF9	RHOA
KDM1A	HIST1H3A
PSMC3	ANAPC10
LGR4	RSPO2
LMNA	TERF2
NPHP1	CEP135
GABRP	PLCL1
PCDH15	PCDHB3
PPIH	SF3B1
RAC1	C2CD5
AMPH	AVP
GRIK3	GRIK5
CENPI	RSF1
